institution_name,prov_terr,record_id,member,url,Program,Credential,Campus,Duration,Description,WIL
Université Sainte-Anne - Collège de l'Acadie,Nova Scotia,26824492-aab5-e711-8111-c4346bac2a20,TRUE,https://www.usainteanne.ca//maitrise-en-education,Maîtrise en éducationSpécialisation en enseignement du français langue maternelle,Maîtrise en éducation (M.Éd.),Programme à distance et en ligne,"","Ce programme a pour but de fournir aux étudiants une formation leur permettant d'exercer un leadership pédagogique au sein de leurs écoles, conseils et provinces dans le domaine de l'enseignement du français. Il fournit aux étudiants des outils théoriques et appliqués leur permettant de mettre en évidence, de formuler et d'évaluer les hypothèses d'ordre linguistique, psychologique, sociologique et pédagogique sur lesquelles se fondent les principes de l'enseignement du français langue seconde et du français langue maternelle en situation minoritaire.",La pédagogie de la coopération en français langue seconde et langue maternelle en situations minoritaires
Université Sainte-Anne - Collège de l'Acadie,Nova Scotia,26824492-aab5-e711-8111-c4346bac2a20,TRUE,https://www.usainteanne.ca//ba-bed-elementaire-flm,Baccalauréat ès arts avec majeure en français / Baccalauréat en éducationOption enseignement à l'élémentaire : français langue maternelle Garantie d'emploi,Baccalauréat ès arts/Baccalauréat en éducation (B.A./B.Éd.),Pointe-de-l'Église,5 ans,Les programmes du baccalauréat ès arts intégrés au baccalauréat en éducation débutent directement après les études secondaires. Tout candidat doit faire un test de classement qui évalue ses compétences langagières. Le programme B.A./B.Éd. intégré signifie que dès la deuxième année les étudiants débuteront leur formation en pédagogie tout en suivant certains cours au niveau du B.A. AND Répartition des crédits B.A. majeure françaisvolet en FLM élémentaire,Modèles et pratiques à l'élémentaire  AND Modèles et pratiques au secondaire AND Séminaires et stage  AND Séminaires et stage  AND Séminaires et stage 
Université Sainte-Anne - Collège de l'Acadie,Nova Scotia,26824492-aab5-e711-8111-c4346bac2a20,TRUE,https://www.usainteanne.ca//ba-bed-elementaire-fls,Baccalauréat ès arts avec majeure en français / Baccalauréat en éducationOption enseignement à l'élémentaire : français langue seconde Garantie d'emploi,Baccalauréat ès arts/Baccalauréat en éducation (B.A./B.Éd.),Pointe-de-l'Église,5 ans,Les programmes du baccalauréat ès arts intégrés au baccalauréat en éducation débutent directement après les études secondaires. Tout candidat doit faire un test de classement qui évalue ses compétences langagières. Le programme B.A./B.Éd. intégré signifie que dès la deuxième année les étudiants débuteront leur formation en pédagogie tout en suivant certains cours au niveau du B.A. AND Répartition des crédits B.A. majeure françaisvolet en FLS élémentaire,Modèles et pratiques à l'élémentaire  AND Modèles et pratiques au secondaire AND Séminaires et stage  AND Séminaires et stage  AND Séminaires et stage 
Université Sainte-Anne - Collège de l'Acadie,Nova Scotia,26824492-aab5-e711-8111-c4346bac2a20,TRUE,https://www.usainteanne.ca//ba-bed-secondaire,Baccalauréat ès arts avec choix de majeure / Baccalauréat en éducationEnseignement au secondaire Garantie d'emploi,Baccalauréat ès arts/Baccalauréat en éducation (B.A./B.Éd.),Pointe-de-l'Église,5 ans,"Répartition des crédits B.A. sans majeure avec premier et second volets d'enseignementvoir options page 30 de l'annuaire AND Répartition des crédits B.A. majeure français1er volet en FLM ou en FLS avec un 2e volet en anglais, en histoire, en sociologie, en administration des affaires, en biologie, en chimie, en mathématiques ou en physique. AND Répartition des crédits B.A. majeure anglais1er volet en anglais avec un 2e volet en français, en histoire, en sociologie, en administration des affaires, en biologie, en chimie, en mathématiques ou en physique. AND Répartition des crédits B.A. majeure histoire1er volet en anglais avec un 2e volet en français, en anglais, en sociologie, en administration des affaires, en biologie, en chimie, en mathématiques ou en physique.",Modèles et pratiques au secondaire  AND Modèles et pratiques au secondaire AND Séminaires et stage  AND Séminaires et stage  AND Séminaires et stage  AND Modèles et pratiques au secondaire  AND Modèles et pratiques au secondaire AND Séminaires et stage  AND Séminaires et stage  AND Séminaires et stage  AND Modèles et pratiques au secondaire  AND Modèles et pratiques au secondaire AND Séminaires et stage  AND Séminaires et stage  AND Séminaires et stage  AND Modèles et pratiques au secondaire  AND Modèles et pratiques au secondaire AND Séminaires et stage  AND Séminaires et stage  AND Séminaires et stage 
Université Sainte-Anne - Collège de l'Acadie,Nova Scotia,26824492-aab5-e711-8111-c4346bac2a20,TRUE,https://www.usainteanne.ca//bsc-bed,Baccalauréat ès science / Baccalauréat en éducationEnseignement au secondaire Garantie d'emploi,Baccalauréat ès sciences/Baccalauréat en éducation (B.Sc./B.Éd.),Pointe-de-l'Église,5 ans,Les programmes du baccalauréat ès sciences intégrés au baccalauréat en éducation débutent directement après les études secondaires. Tout candidat doit faire un test de classement qui évalue ses compétences langagières. Le programme B.Sc./B.Éd. intégré signifie que dès la deuxième année les étudiants débuteront leur formation en pédagogie tout en suivant certains cours au niveau du B.Sc.,Modèles et pratiques au secondaire  AND Modèles et pratiques au secondaire AND Séminaires et stage  AND Séminaires et stage  AND Séminaires et stage 
Université Sainte-Anne - Collège de l'Acadie,Nova Scotia,26824492-aab5-e711-8111-c4346bac2a20,TRUE,https://www.usainteanne.ca//bsc-biologie-bed,Baccalauréat ès science avec majeure en biologie / Baccalauréat en éducationEnseignement au secondaire Garantie d'emploi,Baccalauréat ès sciences avec majeure en biologie/Baccalauréat en éducation (B.Sc./B.Éd.),Pointe-de-l'Église,5 ans,Les programmes du baccalauréat ès sciences intégrés au baccalauréat en éducation débutent directement après les études secondaires. Tout candidat doit faire un test de classement qui évalue ses compétences langagières. Le programme B.Sc./B.Éd. intégré signifie que dès la deuxième année les étudiants débuteront leur formation en pédagogie tout en suivant certains cours au niveau du B.Sc.,Modèles et pratiques au secondaire  AND Modèles et pratiques au secondaire AND Séminaires et stage  AND Séminaires et stage  AND Séminaires et stage 
Université Sainte-Anne - Collège de l'Acadie,Nova Scotia,26824492-aab5-e711-8111-c4346bac2a20,TRUE,https://www.usainteanne.ca//bsc-sans-majeure,Baccalauréat ès sciences sans majeure,Baccalauréat ès sciences (B.Sc.),Pointe-de-l'Église,3 ans,Il n'y a aucun doute que notre société est de plus en plus axée sur les sciences et la technologie et les programmes de baccalauréat ès sciences permettent à l'étudiant d'acquérir une solide formation scientifique. Le finissant peut entrer directement sur le marché du travail ou se diriger vers des études plus avancées au niveau de la maîtrise. Le finissant en sciences qui est passé par l'Université Sainte-Anne a acquis en entier ou en partie sa formation scientifique en français et peut fonctionner dans les deux langues officielles.,
Université Sainte-Anne - Collège de l'Acadie,Nova Scotia,26824492-aab5-e711-8111-c4346bac2a20,TRUE,https://www.usainteanne.ca//bsc-biologie,Baccalauréat ès sciences avec majeure en biologie,Baccalauréat ès sciences (B.Sc.) avec majeure en biologie,Pointe-de-l'Église,"","Ce programme, qui permet à l'étudiant d'acquérir une formation multidisciplinaire dans les sciences biologiques, vise à former des diplômés qui intègrent directement le marché du travail dans des carrières en biomédecine, en biotechnologie, en pharmacie, et en environnement. Grâce à des cours mettant l'accent sur les techniques moléculaires et biochimiques, l'analyse environnementale et écologique, et surtout sur la formation pratique en laboratoire et sur le terrain, ce programme donne aux futurs diplômés les connaissances et l'expérience nécessaires pour intégrer différents domaines de la biologie.",
Université Sainte-Anne - Collège de l'Acadie,Nova Scotia,26824492-aab5-e711-8111-c4346bac2a20,TRUE,https://www.usainteanne.ca//bsc-biologie-coop,"Nouveau Baccalauréat ès sciences avec majeure en biologie, régime coopératif","Baccalauréat ès sciences (B.Sc.) avec majeure en biologie, régime coopératif",Pointe-de-l'Église,4 ans ½,Le régime coopératif exige un total de 120 crédits (même nombre de crédits associés au baccalauréat ès sciences avec majeure en biologie) et 3 stages de travail rémunérés. L’ensemble du programme de majeure en biologie et l’option COOP est échelonné sur une période de quatre ans et demi.,
Université Sainte-Anne - Collège de l'Acadie,Nova Scotia,26824492-aab5-e711-8111-c4346bac2a20,TRUE,https://www.usainteanne.ca//dss,Diplôme préparatoire en sciences de la santé,Diplôme préparatoire en sciences de la santé,Pointe-de-l'Église,2 ans,"Une éducation de qualité en français pour une carrière en médicine! AND Le diplôme préparatoire en sciences de la santé spécialisé de deux ans dispense une formation ciblée en sciences biologique, en chimie, en physique et en mathématiques, et de préparer les étudiants(e)s qui se destinent aux sciences médicales.",
Université Sainte-Anne - Collège de l'Acadie,Nova Scotia,26824492-aab5-e711-8111-c4346bac2a20,TRUE,https://www.usainteanne.ca//pre-veterinaire,Diplôme ès sciences pré-vétérinaires,Diplôme ès sciences pré-vétérinaires,Pointe-de-l'Église,2 ans,"Ce programme a comme but spécifique de préparer l'étudiant pour le programme de doctorat ès sciences vétérinaires de l'Atlantic Veterinary College. Une entente entre l'Atlantic Veterinary College et l'Université Sainte-Anne assure que nos finissants ont tous les cours nécessaires pour entrer en première année du programme. Si l'étudiant n'est pas admis au programme de médecine vétérinaire, il pourra continuer ses études dans le programme du baccalauréat ès sciences de trois ans à l'Université Sainte-Anne.",
Université Sainte-Anne - Collège de l'Acadie,Nova Scotia,26824492-aab5-e711-8111-c4346bac2a20,TRUE,https://etudescollegiales.ca/agent-de-bureau-gouvernemental,Agent de bureau gouvernemental,Certificat Agent de bureau gouvernemental,"Pointe-de-l'Église,  Halifax,  Tusket,  St-Joseph-du-Moine,  Petit-de-Grat","1 an
 (septembre à juin)","Prépare-toi pour un poste bilingue de niveau d'entrée en soutien administratif au sein du gouvernement fédéral, provincial ou municipal AND 1 an - 900 heures - 50 unités",Six semaines (mai à juin). Les stages seront coordonnés dans la région de l'étudiant dans la mesure du possible. NA
Université Sainte-Anne - Collège de l'Acadie,Nova Scotia,26824492-aab5-e711-8111-c4346bac2a20,TRUE,https://etudescollegiales.ca/adjoint-administratif-bilingue,Adjoint administratif bilingue,Certificat Adjoint administratif bilingue,"Pointe-de-l'Église,  Halifax,  Tusket,  St-Joseph-du-Moine,  Petit-de-Grat","1 an
 (septembre à juin)",Ouvre la porte à une carrière enrichissante et diversifiée dans une entreprise ! AND Durée du programme : 1 an - 900 heures - 50 unités,Six semaines (mai à juin). Les stages seront coordonnés dans la région de l'étudiant dans la mesure du possible.  Stage en milieu de travail
Université Sainte-Anne - Collège de l'Acadie,Nova Scotia,26824492-aab5-e711-8111-c4346bac2a20,TRUE,https://etudescollegiales.ca/administration-des-affaires,Administration des affaires,Diplôme Administration des affaires,Halifax,"2 ans
 (septembre à juin)",Fais ta place dans le monde des affaires ! AND Durée du programme : 2 ans,Six semaines (mai à juin de la deuxième année)  Stage en administration des affaires
Université Sainte-Anne - Collège de l'Acadie,Nova Scotia,26824492-aab5-e711-8111-c4346bac2a20,TRUE,https://etudescollegiales.ca/soins-infirmiers-auxiliaires,Soins infirmiers auxiliaires (LPN),Diplôme Soins infirmiers auxiliaires,"Pointe-de-l'Église,  Halifax,  Tusket,  St-Joseph-du-Moine,  Petit-de-GratLes séances de laboratoire seront offertes à Halifax seulement.","2 ans
 (septembre à juin)Prochaines cohortes : septembre 2021",Prépare-toi pour une carrière stimulante en soins infirmiers auxiliaires ! AND Durée du programme : 2 ans,  Stage en soins continus AND  Stage en médecine et chirurgie I AND  Stage en médecine et chirurgie II AND  Stage en santé mentale AND  Stage en communauté AND  Stage en maternité et pédiatrie AND  Stage en médecine et chirurgie III AND  Stage d’intégration II
Université Sainte-Anne - Collège de l'Acadie,Nova Scotia,26824492-aab5-e711-8111-c4346bac2a20,TRUE,https://etudescollegiales.ca/auxiliaire-en-soins-continus,Auxiliaire en soins continus (CCA),Certificat Certificat auxiliaire en soins continus,"Pointe-de-l'Église,  Halifax,  Tusket,  St-Joseph-du-Moine,  Petit-de-Grat","1 an
 (septembre à mai)","Obtiens un certificat collégial et accède au marché du travail après un an d'études ! AND Durée du programme : 1 an - 1 047,5 heures - 52 unités",  La vie quotidienne et travaux pratiques I AND  Travaux pratique II / Développement des compétences (foyer de longue durée - 3 semaines) AND  Travaux pratiques III (soins à domicile) (2 semaines) AND  Stage avec précepteur et séminaires
Université Sainte-Anne - Collège de l'Acadie,Nova Scotia,26824492-aab5-e711-8111-c4346bac2a20,TRUE,https://etudescollegiales.ca/assistant-de-lergotherapeute-et-assistant-du-physiotherapeute,Assistant de l'ergothérapeute et assistant du physiothérapeute,Diplôme Assistant de l'ergothérapeute et assistant du physiothérapeute,En ligne,2 ans,Prépare-toi pour une carrière stimulante dans les secteurs de l'ergothérapie et de la physiothérapie ! AND Durée du programme : 2 ans,  Intro. à la pratique thérapeutique AND  Stage 1 AND  Stage 2 AND  Stage 3
Université Sainte-Anne - Collège de l'Acadie,Nova Scotia,26824492-aab5-e711-8111-c4346bac2a20,TRUE,https://etudescollegiales.ca/aide-enseignant,Aide-enseignant,Certificat Aide-enseignant,En ligne,1 an,Obtiens un diplôme collégial et accède au marché du travail après un an d'études ! AND Durée du programme : 1 an - 765 heures - 42 unités,  Stage d'aide-enseignant
Université Sainte-Anne - Collège de l'Acadie,Nova Scotia,26824492-aab5-e711-8111-c4346bac2a20,TRUE,https://etudescollegiales.ca/education-a-la-petite-enfance,Éducation à la petite enfance,Diplôme Éducation à la petite enfance,En ligne,2 ans,Obtiens ton diplôme en éducation à la petite enfance et prépare-toi à une carrière enrichissante ! AND Durée du programme : 2 ans,  Stage I AND  Stage II AND  Stage III
Université Sainte-Anne - Collège de l'Acadie,Nova Scotia,26824492-aab5-e711-8111-c4346bac2a20,TRUE,https://etudescollegiales.ca/leadership-en-petite-enfance,Leadership en petite enfance,Certificat ,En ligne,"1 an
 (septembre à juin)",Reçois une formation pour t’aider à gérer un centre de la petite enfance (CPE) ! AND Durée du programme : 1 an - 120 heures - 8 unités, NA
