institution_name,prov_terr,record_id,member,url,Program,Credential,Campus,Duration,Description,WIL
Nova Scotia Community College (NSCC),Nova Scotia,48814492-aab5-e711-8111-c4346bac2a20,TRUE,https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=EVNT&pln=EVENTMGT,Event Management,Advanced Diploma,Akerley Campus/Online,1 Year (Varies for part-time or blended studies),,Work Experience
Nova Scotia Community College (NSCC),Nova Scotia,48814492-aab5-e711-8111-c4346bac2a20,TRUE,https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=FINC&pln=FINANCE,Finance,Advanced Diploma,Ivany Campus/Online,1 Year (Varies for part-time or blended studies),,Work Experience
Nova Scotia Community College (NSCC),Nova Scotia,48814492-aab5-e711-8111-c4346bac2a20,TRUE,https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=FNRL&pln=FUNSERV,Funeral and Allied Health Services,Diploma,eCampus,2 Years,,
Nova Scotia Community College (NSCC),Nova Scotia,48814492-aab5-e711-8111-c4346bac2a20,TRUE,https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=FUDR&pln=FUNDIRCT,Funeral Arranging and Directing,Certificate,eCampus,1 Year (Varies for part-time or blended studies),,
Nova Scotia Community College (NSCC),Nova Scotia,48814492-aab5-e711-8111-c4346bac2a20,TRUE,https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=GAME&pln=GD-NOCONC,Game Development,Diploma,Truro Campus,2 Years,,
Nova Scotia Community College (NSCC),Nova Scotia,48814492-aab5-e711-8111-c4346bac2a20,TRUE,https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=GAME&pln=GD-GART,Game Development - Game Art Concentration,Diploma,Truro Campus,2 Years,,
Nova Scotia Community College (NSCC),Nova Scotia,48814492-aab5-e711-8111-c4346bac2a20,TRUE,https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=GAME&pln=GD-GPDE,Game Development - Game Programming and Design Concentration,Diploma,Truro Campus,2 Years,,
Nova Scotia Community College (NSCC),Nova Scotia,48814492-aab5-e711-8111-c4346bac2a20,TRUE,https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=GIAM&pln=GASINSSERV,Gas Technician,Certificate,Akerley Campus,1 Year,,Work Experience
Nova Scotia Community College (NSCC),Nova Scotia,48814492-aab5-e711-8111-c4346bac2a20,TRUE,https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=GISAD&pln=GEOINFSYS,Geographic Information Systems,Advanced Diploma,COGS,1 Year,,
Nova Scotia Community College (NSCC),Nova Scotia,48814492-aab5-e711-8111-c4346bac2a20,TRUE,https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=GIST&pln=GEOINFSYT,Geographic Information Systems Technician,Certificate,COGS,1 Year,,
Nova Scotia Community College (NSCC),Nova Scotia,48814492-aab5-e711-8111-c4346bac2a20,TRUE,https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=GETG&pln=GEOMENTECH,Geomatics Engineering Technology,Diploma,COGS,1 Year,,
Nova Scotia Community College (NSCC),Nova Scotia,48814492-aab5-e711-8111-c4346bac2a20,TRUE,https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=GDAA&pln=GEOSPATDAT,Geospatial Data Analytics,Advanced Diploma,COGS,1 Year,,
Nova Scotia Community College (NSCC),Nova Scotia,48814492-aab5-e711-8111-c4346bac2a20,TRUE,https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=GAPP&pln=GRAPROD,Graphic and Print Production,Diploma,Ivany Campus,2 Years,,Work Experience AND Work Experience
Nova Scotia Community College (NSCC),Nova Scotia,48814492-aab5-e711-8111-c4346bac2a20,TRUE,https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=GDES&pln=GRAPHICDES,Graphic Design,Diploma,Ivany Campus,2 Years,,
Nova Scotia Community College (NSCC),Nova Scotia,48814492-aab5-e711-8111-c4346bac2a20,TRUE,https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=HIMP&pln=HEINFOMAN,Health Information Management (HIM),Diploma,Institute of Technology Campus,2 Years,,Introduction to Health Information Management Practicum AND Health Information Management Practicum I AND Health Information Management Senior Practicum
Nova Scotia Community College (NSCC),Nova Scotia,48814492-aab5-e711-8111-c4346bac2a20,TRUE,https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=HDTT&pln=HDEQTTREP,Heavy Duty Equipment /Truck and Transport Repair - Certificate,Certificate,Akerley Campus/Online AND Marconi Campus,1 Year (Varies for part-time or blended studies),,Work Experience
Nova Scotia Community College (NSCC),Nova Scotia,48814492-aab5-e711-8111-c4346bac2a20,TRUE,https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=HDTD&pln=HDTRUCKDIP,Heavy Duty Equipment /Truck and Transport Repair - Diploma,Diploma,Akerley Campus AND Kingstec Campus AND Pictou Campus,2 Years,,Work Experience AND Work Experience II
Nova Scotia Community College (NSCC),Nova Scotia,48814492-aab5-e711-8111-c4346bac2a20,TRUE,https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=HDEQ&pln=HDEQREPAIR,Heavy Duty Equipment Repair,Diploma,Akerley Campus,2 Years,,Work Experience
Nova Scotia Community College (NSCC),Nova Scotia,48814492-aab5-e711-8111-c4346bac2a20,TRUE,https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=HEOP&pln=HEAVYEQOP,Heavy Equipment Operator,College Certificate,Strait Area Campus,15 Weeks,,Work Experience
Nova Scotia Community College (NSCC),Nova Scotia,48814492-aab5-e711-8111-c4346bac2a20,TRUE,https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=HCAR&pln=HERCARPENT,Heritage Carpentry,Diploma,Lunenburg Campus,2 Years,,Work Experience I
Nova Scotia Community College (NSCC),Nova Scotia,48814492-aab5-e711-8111-c4346bac2a20,TRUE,https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=HLTG&pln=HORTLANDTG,Horticulture and Landscape Technology,Diploma,Kingstec Campus,2 Years,,Work Experience
Nova Scotia Community College (NSCC),Nova Scotia,48814492-aab5-e711-8111-c4346bac2a20,TRUE,https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=HLTG&pln=HORTLANDSC,Horticulture and Landscape Technology - Landscape Concentration,Diploma,Kingstec Campus,2 Years,,Work Experience
Nova Scotia Community College (NSCC),Nova Scotia,48814492-aab5-e711-8111-c4346bac2a20,TRUE,https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=HLTG&pln=HORTOPERAT,Horticulture and Landscape Technology - Operations Concentration,Diploma,Kingstec Campus,2 Years,,Work Experience
Nova Scotia Community College (NSCC),Nova Scotia,48814492-aab5-e711-8111-c4346bac2a20,TRUE,https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=HUMT&pln=HUMRESMAN,Human Resource Management,Advanced Diploma,Cumberland Campus AND Ivany Campus AND Marconi Campus,1 Year,,Work Experience
Nova Scotia Community College (NSCC),Nova Scotia,48814492-aab5-e711-8111-c4346bac2a20,TRUE,https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=IETG&pln=INDENGTECH,Industrial Engineering Technology,Diploma,Ivany Campus,2 Years,,Work Experience
Nova Scotia Community College (NSCC),Nova Scotia,48814492-aab5-e711-8111-c4346bac2a20,TRUE,https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=INDI&pln=INDINSTRU,Industrial Instrumentation,Diploma,Marconi Campus,2 Years,,Work Experience
Nova Scotia Community College (NSCC),Nova Scotia,48814492-aab5-e711-8111-c4346bac2a20,TRUE,https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=INDM&pln=INDMEC,Industrial Mechanical,Certificate,Institute of Technology Campus,1 Year,,Work Experience
Nova Scotia Community College (NSCC),Nova Scotia,48814492-aab5-e711-8111-c4346bac2a20,TRUE,https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=INTB&pln=INTERBUSIN,International Business,Advanced Diploma,Truro Campus,2 Years,,Internship
Nova Scotia Community College (NSCC),Nova Scotia,48814492-aab5-e711-8111-c4346bac2a20,TRUE,https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=ITDA&pln=ITDATANLS,IT Data Analytics,Diploma,Institute of Technology Campus,2 Years,,Work Experience or Industry Project AND Work Experience
Nova Scotia Community College (NSCC),Nova Scotia,48814492-aab5-e711-8111-c4346bac2a20,TRUE,https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=ITDB&pln=ITDBADMIN,IT Database Administration,Diploma,Institute of Technology Campus,2 Years,,Work Experience AND Work Experience AND IT Internship
Nova Scotia Community College (NSCC),Nova Scotia,48814492-aab5-e711-8111-c4346bac2a20,TRUE,https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=ITESP&pln=ITEMSPRO,IT Embedded Systems Programming,Advanced Diploma,Institute of Technology Campus,1 Year,,
Nova Scotia Community College (NSCC),Nova Scotia,48814492-aab5-e711-8111-c4346bac2a20,TRUE,https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=ITGE&pln=ITGENERAL,IT Generalist,Diploma,Burridge Campus AND Strait Area Campus,2 Years,,IT International Placement AND Work Experience or Industry Project AND Work Experience
Nova Scotia Community College (NSCC),Nova Scotia,48814492-aab5-e711-8111-c4346bac2a20,TRUE,https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=ITPR&pln=ITPROGRAM,IT Programming,Diploma,COGS AND Institute of Technology Campus AND Marconi Campus,2 Years,,Work Experience
Nova Scotia Community College (NSCC),Nova Scotia,48814492-aab5-e711-8111-c4346bac2a20,TRUE,https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=ITSM&pln=ITSYSSEC,IT Systems Management and Security,Diploma,Annapolis Valley Campus AND Institute of Technology Campus AND Marconi Campus AND Truro Campus,2 Years,,Work Experience
Nova Scotia Community College (NSCC),Nova Scotia,48814492-aab5-e711-8111-c4346bac2a20,TRUE,https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=ITWP&pln=ITWEBPRO,IT Web Programming,Diploma,Institute of Technology Campus AND Marconi Campus AND Truro Campus,2 Years,,Work Experience
Nova Scotia Community College (NSCC),Nova Scotia,48814492-aab5-e711-8111-c4346bac2a20,TRUE,https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=LWSC&pln=LAWSECURIT,Law and Security,Certificate,Truro Campus,1 Year,,Work Experience
Nova Scotia Community College (NSCC),Nova Scotia,48814492-aab5-e711-8111-c4346bac2a20,TRUE,https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=LBTN&pln=LIBINFTECH,Library and Information Technology,Diploma,eCampus AND Ivany Campus,2 Years (Varies for part-time or blended studies),,Work Experience
Nova Scotia Community College (NSCC),Nova Scotia,48814492-aab5-e711-8111-c4346bac2a20,TRUE,https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=MACSD&pln=MACSHOPDIP,Machining,Diploma,Kingstec Campus AND Pictou Campus,2 Years,,Work Experience I AND Work Experience II
